Stock_Code,Name_Company,Industry,Exchange,KLCPNY
APC,CTCP Chiếu xạ An Phú,Sản xuất Nông - Lâm - Ngư nghiệp,HOSE,20.121.395
ASM,CTCP Tập đoàn Sao Mai,Sản xuất Nông - Lâm - Ngư nghiệp,HOSE,336.526.752
BAF,CTCP Nông nghiệp BAF Việt Nam,Sản xuất Nông - Lâm - Ngư nghiệp,HOSE,143.520.000
HAG,CTCP Hoàng Anh Gia Lai,Sản xuất Nông - Lâm - Ngư nghiệp,HOSE,927.467.947
HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Sản xuất Nông - Lâm - Ngư nghiệp,HOSE,1.108.553.895
HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,Sản xuất Nông - Lâm - Ngư nghiệp,HOSE,35.383.508
NSC,CTCP Tập đoàn Giống cây trồng Việt Nam,Sản xuất Nông - Lâm - Ngư nghiệp,HOSE,17.586.988
SJF,CTCP Đầu tư Sao Thái Dương,Sản xuất Nông - Lâm - Ngư nghiệp,HOSE,79.200.000
SSC,CTCP Giống cây trồng Miền Nam,Sản xuất Nông - Lâm - Ngư nghiệp,HOSE,14.992.367
CTP,CTCP Minh Khang Capital Trading Public,Sản xuất Nông - Lâm - Ngư nghiệp,HNX,12.099.992
HKT,CTCP Đầu tư Ego Việt Nam,Sản xuất Nông - Lâm - Ngư nghiệp,HNX,6.135.029
PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Sản xuất Nông - Lâm - Ngư nghiệp,HNX,17.000.000
VIF,Tổng Công ty Lâm nghiệp Việt Nam - CTCP,Sản xuất Nông - Lâm - Ngư nghiệp,HNX,350.000.000
APT,CTCP Kinh doanh Thủy Hải Sản Sài Gòn,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,8.800.000
BHG,CTCP Chè Biển Hồ,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,8.935.643
CNA,CTCP Tổng Công ty Chè Nghệ An,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,793.917
CPA,CTCP Cà phê Phước An,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,23.627.990
DRG,CTCP Cao su Đắk Lắk,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,1.658.400
FGL,CTCP Cà phê Gia Lai,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,14.676.300
FRM,CTCP Lâm Nghiệp Sài Gòn,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,11.700.000
HVA,CTCP Đầu tư HVA,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,13.650.000
LNC,CTCP Lệ Ninh,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,8.230.067
MLS,CTCP Chăn nuôi - Mitraco,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,4.000.000
NSS,CTCP Nông Súc Sản Đồng Nai,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,10.263.942
PSL,CTCP Chăn nuôi Phú Sơn,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,11.812.500
SEA,Tổng Công ty Thủy sản Việt Nam - CTCP,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,125.000.000
SEP,CTCP Tổng Công ty Thương mại Quảng Trị,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,8.400.000
TAN,CTCP Cà phê Thuận An,Sản xuất Nông - Lâm - Ngư nghiệp,UpCom,1.613.690
SQC,CTCP Khoáng sản Sài Gòn - Quy Nhơn,Khai khoáng,UpCom,110.000.000
TMG,CTCP Kim loại màu Thái Nguyên - Vimico,Khai khoáng,UpCom,18.000.000
PSB,CTCP Đầu tư Dầu khí Sao Mai - Bến Đình,Khai khoáng,UpCom,50.000.000
POS,"CTCP Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí Biển PTSC",Khai khoáng,UpCom,40.000.000
MIC,CTCP Kỹ nghệ Khoáng sản Quảng Nam,Khai khoáng,UpCom,5.544.946
MSR,CTCP Masan High-Tech Materials,Khai khoáng,UpCom,1.099.155.420
MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP,Khai khoáng,UpCom,110.113.591
VCE,CTCP Xây lắp Môi trường,Khai khoáng,UpCom,5.000.000
VDB,CTCP Vận tải và Chế biến Than Đông Bắc,Khai khoáng,UpCom,8.678.238
VIM,CTCP Khoáng sản Viglacera,Khai khoáng,UpCom,1.250.000
VLB,CTCP Xây dựng và Sản xuất Vật liệu xây dựng Biên Hòa,Khai khoáng,UpCom,46.921.600
LCM,CTCP Khai thác và Chế biến khoáng sản Lào Cai,Khai khoáng,UpCom,24.633.000
MGC,CTCP Địa chất mỏ - TKV,Khai khoáng,UpCom,10.800.000
ITS,CTCP Đầu tư Thương mại và Dịch vụ - Vinacomin,Khai khoáng,UpCom,26.459.924
KCB,CTCP khoáng Sản và Luyện Kim Cao Bằng,Khai khoáng,UpCom,8.000.000
KLM,CTCP Kim loại màu Nghệ Tĩnh,Khai khoáng,UpCom,3.885.000
KSH,CTCP DAMAC GLS,Khai khoáng,UpCom,57.509.675
HPM,CTCP Xây dựng Thương mại và Khoáng Sản Hoàng Phúc,Khai khoáng,UpCom,3.800.000
GLC,CTCP Vàng Lào Cai,Khai khoáng,UpCom,10.500.000
CMI,CTCP CMISTONE Việt Nam,Khai khoáng,UpCom,15.002.500
CST,CTCP Than Cao Sơn - TKV,Khai khoáng,UpCom,42.846.773
CTA,CTCP Vinavico,Khai khoáng,UpCom,8.454.381
DLT,CTCP Du lịch và Thương mại - Vinacomin,Khai khoáng,UpCom,2.500.056
ATG,CTCP An Trường An,Khai khoáng,UpCom,15.220.000
BCB,CTCP 397,Khai khoáng,UpCom,5.000.000
ALV,CTCP Xây dựng ALVICO,Khai khoáng,UpCom,5.657.936
ACM,CTCP Tập đoàn Khoáng sản Á Cường,Khai khoáng,UpCom,51.000.000
BMJ,CTCP Khoáng sản Miền Đông AHP,Khai khoáng,UpCom,104.999.978
TVD,CTCP Than Vàng Danh - Vinacomin,Khai khoáng,HNX,44.962.864
SPI,CTCP Spiral Galaxy,Khai khoáng,HNX,16.815.000
TC6,CTCP Than Cọc Sáu - Vinacomin,Khai khoáng,HNX,32.496.105
TDN,CTCP Than Đèo Nai - Vinacomin,Khai khoáng,HNX,29.439.097
THT,CTCP Than Hà Tu - Vinacomin,Khai khoáng,HNX,24.569.052
TMB,CTCP Kinh doanh Than Miền Bắc - Vinacomin,Khai khoáng,HNX,15.000.000
PVB,CTCP Bọc ống Dầu khí Việt Nam,Khai khoáng,HNX,21.599.998
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Khai khoáng,HNX,50.000.000
PVS,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Khai khoáng,HNX,477.966.290
HLC,CTCP Than Hà Lầm - Vinacomin,Khai khoáng,HNX,25.415.199
HGM,CTCP Cơ khí và Khoáng sản Hà Giang,Khai khoáng,HNX,12.600.000
HMR,CTCP Đá Hoàng Mai,Khai khoáng,HNX,5.612.444
KSQ,CTCP CNC Capital Việt Nam,Khai khoáng,HNX,30.000.000
KSV,Tổng Công ty Khoáng sản TKV - CTCP,Khai khoáng,HNX,200.000.000
MDC,CTCP Than Mông Dương - Vinacomin,Khai khoáng,HNX,21.418.346
NBC,CTCP Than Núi Béo - Vinacomin,Khai khoáng,HNX,36.999.124
MIM,CTCP Khoáng sản và Cơ khí,Khai khoáng,HNX,3.409.860
MVB,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP,Khai khoáng,HNX,105.000.000
TNT,CTCP Tập đoàn TNT,Khai khoáng,HOSE,51.000.000
AMC,CTCP Khoáng sản Á Châu,Khai khoáng,HNX,2.850.000
BKC,CTCP Khoáng sản Bắc Kạn,Khai khoáng,HNX,11.737.728
NNC,CTCP Đá Núi Nhỏ,Khai khoáng,HOSE,21.920.000
PVD,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,Khai khoáng,HOSE,556.296.006
KSB,CTCP Khoáng sản và Xây dựng Bình Dương,Khai khoáng,HOSE,76.631.202
MDG,CTCP Miền Đông,Khai khoáng,HOSE,10.889.031
DHM,CTCP Thương mại và Khai thác Khoáng sản Dương Hiếu,Khai khoáng,HOSE,31.396.180
DHA,CTCP Hóa An,Khai khoáng,HOSE,15.119.946
