code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
RTB,2023-08-09,15:08:01,UPCOM,STOCK,20.0,23.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S74,2023-08-09,15:08:01,UPCOM,STOCK,10.5,12.0,9.0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBR,2023-08-09,15:08:01,UPCOM,STOCK,6.9,7.9,5.9,6.8,6.8,6.1,6.1,6.486,6.8,6.8,6.1,6.1,6.486,734.0,4776100.0,0.0,0.0,-0.8,-0.8,-11.5942
SBL,2023-08-09,15:08:01,UPCOM,STOCK,8.7,10.0,7.4,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAP,2023-08-09,15:08:01,UPCOM,STOCK,49.7,69.5,29.9,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB1,2023-08-09,15:08:01,UPCOM,STOCK,7.5,8.6,6.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,2200.0,18700000.0,0.0,0.0,1.0,1.0,13.3333
SDP,2023-08-09,15:08:01,UPCOM,STOCK,1.2,1.3,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCO,2023-08-09,15:08:01,UPCOM,STOCK,6.2,7.1,5.3,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,2023-08-09,15:08:01,UPCOM,STOCK,4.7,5.4,4.0,5.2,5.4,5.2,5.4,5.333,5.2,5.4,5.2,5.4,5.333,300.0,1600000.0,0.0,0.0,0.7,0.7,14.8936
TH1,2023-08-09,15:08:01,UPCOM,STOCK,3.4,3.9,2.9,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOP,2023-08-09,15:08:01,UPCOM,STOCK,1.5,1.7,1.3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
